transaction_id,manga_title,genre,condition,payment_method,customer_type,publisher,price,quantity,volume_number,transaction_date,restock_date
TXN-00001,Attack on Titan,Drama,Brand New,Credit Card,Online,Kodansha,218.54,4,34,2024-10-16,2024-10-02
TXN-00002,Attack on Titan,Mystery,Brand New,Cash,Walk-in,Kodansha,477.82,3,8,2023-04-25,2023-04-21
TXN-00003,Fullmetal Alchemist,Drama,Second-Hand,GCash,Online,Yen Press,379.4,5,22,2023-01-26,2023-01-08
TXN-00004,JoJo's Bizarre Adventure,Action,Brand New,Cash,Walk-in,Seven Seas,319.4,1,8,2023-10-09,2023-10-01
TXN-00005,Jujutsu Kaisen,Romance,Second-Hand,Cash,Walk-in,Shueisha,120.21,5,49,2023-09-08,2023-08-18
TXN-00006,One Piece,Romance,Brand New,Cash,Online,Viz Media,120.2,1,15,2023-08-17,2023-08-12
TXN-00007,Jujutsu Kaisen,Horror,Brand New,Debit Card,Walk-in,Kodansha,76.14,2,17,2023-05-23,2023-04-23
TXN-00008,Mob Psycho 100,Slice of Life,Second-Hand,Cash,Online,Kadokawa,439.78,1,23,2023-04-15,2023-04-06
TXN-00009,Bleach,Action,Brand New,Cash,Walk-in,Viz Media,320.5,4,24,2024-11-23,2024-10-27
TXN-00010,Hunter x Hunter,Romance,Brand New,GCash,Online,Kadokawa,368.63,3,45,2024-07-12,2024-07-07
TXN-00011,One Piece,Action,Brand New,Debit Card,Walk-in,Kadokawa,59.26,2,19,2023-03-31,2023-03-28
TXN-00012,Jujutsu Kaisen,Sci-Fi,Brand New,Cash,Online,Viz Media,486.46,1,5,2024-08-27,2024-08-25
TXN-00013,Mob Psycho 100,Sports,Brand New,GCash,Walk-in,Viz Media,424.6,5,32,2024-03-08,2024-03-02
TXN-00014,JoJo's Bizarre Adventure,Mystery,Brand New,Cash,Online,Seven Seas,145.55,2,44,2023-02-02,2023-01-07
TXN-00015,Spy x Family,Drama,Brand New,GCash,Walk-in,Kadokawa,131.82,2,1,2023-01-31,2023-01-21
TXN-00016,Chainsaw Man,Action,Brand New,GCash,Online,Shueisha,132.53,1,23,2023-04-06,2023-03-17
TXN-00017,Chainsaw Man,Sports,Brand New,GCash,Walk-in,Seven Seas,186.91,2,37,2023-08-12,2023-07-19
TXN-00018,Tokyo Ghoul,Sci-Fi,Brand New,GCash,Online,Dark Horse,286.14,5,8,2023-08-27,2023-07-31
TXN-00019,My Hero Academia,Drama,Brand New,GCash,Walk-in,Yen Press,244.38,2,13,2024-06-01,2024-05-13
TXN-00020,Dragon Ball,Action,Second-Hand,Cash,Walk-in,Dark Horse,181.05,5,8,2024-09-08,2024-08-09
TXN-00021,Mob Psycho 100,Horror,Second-Hand,GCash,Walk-in,Shueisha,325.33,1,23,2023-01-28,2023-01-18
TXN-00022,Naruto,Sports,Brand New,Cash,Walk-in,Seven Seas,112.77,3,43,2024-07-28,2024-07-13
TXN-00023,Bleach,Drama,Second-Hand,Credit Card,Walk-in,Yen Press,181.47,2,1,2023-07-23,2023-07-19
TXN-00024,Jujutsu Kaisen,Action,Brand New,Maya,Online,Seven Seas,214.86,3,45,2024-10-27,2024-10-12
TXN-00025,Vinland Saga,Sports,Brand New,Maya,Online,Viz Media,255.23,5,24,2024-12-19,2024-11-26
TXN-00026,One Piece,Sci-Fi,Brand New,Debit Card,Walk-in,Yen Press,403.33,2,35,2024-07-12,2024-07-02
TXN-00027,Tokyo Ghoul,Action,Brand New,Credit Card,Online,Kadokawa,139.85,4,24,2024-03-05,2024-02-11
TXN-00028,Dragon Ball,Action,Brand New,Credit Card,Walk-in,Dark Horse,281.41,3,17,2023-08-14,2023-08-01
TXN-00029,Mob Psycho 100,Action,Brand New,Cash,Walk-in,Yen Press,316.59,2,5,2024-04-04,2024-03-26
TXN-00030,JoJo's Bizarre Adventure,Comedy,Brand New,Credit Card,Online,Kadokawa,70.9,3,20,2024-08-26,2024-08-09
TXN-00031,Bleach,Horror,Second-Hand,GCash,Online,Seven Seas,323.4,2,21,2023-10-12,2023-09-24
TXN-00032,Black Clover,Sci-Fi,Brand New,GCash,Online,Shueisha,126.74,1,40,2023-01-07,2022-12-22
TXN-00033,Death Note,Drama,Brand New,Credit Card,Walk-in,Yen Press,79.27,3,31,2023-06-13,2023-05-29
TXN-00034,Mob Psycho 100,Comedy,Second-Hand,Cash,Online,Kadokawa,477.0,4,46,2024-12-15,2024-12-12
TXN-00035,Attack on Titan,Slice of Life,Brand New,GCash,Walk-in,Seven Seas,484.53,4,36,2024-03-08,2024-02-17
TXN-00036,My Hero Academia,Comedy,Brand New,Maya,Walk-in,Seven Seas,413.78,5,11,2023-12-15,2023-12-13
TXN-00037,Death Note,Mystery,Second-Hand,Cash,Walk-in,Seven Seas,187.08,2,15,2023-10-12,2023-09-13
